event_group,start_time,end_time,operation_count,operations,event_kinds,recommended_query_start,recommended_query_end
E01_20230917T110210,2023-09-17 11:02:10,2023-09-17 11:02:10,2,cb_123:NC->NO|cb_128:NO->NC,closing|opening,2023-09-17T10:57:10,2023-09-17T11:07:10
E02_20230917T140417,2023-09-17 14:04:17,2023-09-17 14:04:17,2,cb_146:NC->NO|cb_147:NO->NC,closing|opening,2023-09-17T13:59:17,2023-09-17T14:09:17
E03_20230926T144950,2023-09-26 14:49:50,2023-09-26 14:49:50,2,cb_146:NO->NC|cb_147:NC->NO,closing|opening,2023-09-26T14:44:50,2023-09-26T14:54:50
E04_20230926T151210,2023-09-26 15:12:10,2023-09-26 15:12:10,2,cb_123:NO->NC|cb_128:NC->NO,closing|opening,2023-09-26T15:07:10,2023-09-26T15:17:10
E05_20231126T092630,2023-11-26 09:26:30,2023-11-26 09:27:10,8,cb_128:NO->NC|cb_123:NC->NO|cb_134:NC->NO|cb_135:NO->NC|cb_137:NC->NO|cb_138:NO->NC|cb_140:NC->NO|cb_142:NO->NC,closing|opening,2023-11-26T09:21:30,2023-11-26T09:32:10
E06_20231207T103000,2023-12-07 10:30:00,2023-12-07 10:30:00,2,cb_128:NC->NO|cb_123:NO->NC,closing|opening,2023-12-07T10:25:00,2023-12-07T10:35:00
E07_20231207T111450,2023-12-07 11:14:50,2023-12-07 11:14:50,6,cb_134:NO->NC|cb_135:NC->NO|cb_137:NO->NC|cb_138:NC->NO|cb_140:NO->NC|cb_142:NC->NO,closing|opening,2023-12-07T11:09:50,2023-12-07T11:19:50
E08_20240201T000000,2024-02-01 00:00:00,2024-02-01 00:00:00,2,cb_143:NO->NC|cb_145:NO->NC,closing,2024-01-31T23:55:00,2024-02-01T00:05:00
E09_20241113T175220,2024-11-13 17:52:20,2024-11-13 17:52:28,4,cb_121:NC->NO|cb_123:NC->NO|swmp_17:NC->NO|cb_128:NO->NC,closing|opening,2024-11-13T17:47:20,2024-11-13T17:57:28
E10_20241113T230900,2024-11-13 23:09:00,2024-11-13 23:09:00,1,cb_121:NO->NC,closing,2024-11-13T23:04:00,2024-11-13T23:14:00
E11_20241113T232005,2024-11-13 23:20:05,2024-11-13 23:20:21,2,cb_123:NO->NC|cb_128:NC->NO,closing|opening,2024-11-13T23:15:05,2024-11-13T23:25:21
E12_20241113T233042,2024-11-13 23:30:42,2024-11-13 23:30:42,1,swmp_17:NO->NC,closing,2024-11-13T23:25:42,2024-11-13T23:35:42
