meter,channel,data_file,unit,measurement_kind,element_reference,base_element,nominal_voltage,register_expression,measurement_semantics,voltage_response_eligible,rating,groups
egauge_3,Mains_Power,egauge_3-Mains_Power,W,real_power,cb_143,cb_143,,S1*L1+S2*L2+S3*L3,real_power,False,,bldg_163|group_166|group_28
egauge_3,L1,egauge_3-L1,V,voltage_magnitude,bus_1107.ag,bus_1107,277.0,L1,direct_phase_to_ground_voltage_magnitude,True,,bldg_163|group_166|group_28
egauge_3,L2,egauge_3-L2,V,voltage_magnitude,bus_1107.bg,bus_1107,277.0,L2,direct_phase_to_ground_voltage_magnitude,True,,bldg_163|group_166|group_28
egauge_3,L3,egauge_3-L3,V,voltage_magnitude,bus_1107.cg,bus_1107,277.0,L3,direct_phase_to_ground_voltage_magnitude,True,,bldg_163|group_166|group_28
egauge_3,CT1,egauge_3-CT1,A,current_magnitude,cb_143.a,cb_143,,S1,current_magnitude,False,2000.0,bldg_163|group_166|group_28
egauge_3,CT2,egauge_3-CT2,A,current_magnitude,cb_143.b,cb_143,,S2,current_magnitude,False,2000.0,bldg_163|group_166|group_28
egauge_3,CT3,egauge_3-CT3,A,current_magnitude,cb_143.c,cb_143,,S3,current_magnitude,False,2000.0,bldg_163|group_166|group_28
egauge_3,CT4,egauge_3-CT4,A,current_magnitude,cb_143.n,cb_143,,S4,current_magnitude,False,2000.0,bldg_163|group_166|group_28
egauge_4,Mains_Power,egauge_4-Mains_Power,W,real_power,cb_145,cb_145,,S1*L1+S2*L2+S3*L3,real_power,False,,bldg_163|group_167|group_29
egauge_4,L1,egauge_4-L1,V,voltage_magnitude,bus_1113.ag,bus_1113,277.0,L1,direct_phase_to_ground_voltage_magnitude,True,,bldg_163|group_167|group_29
egauge_4,L2,egauge_4-L2,V,voltage_magnitude,bus_1113.bg,bus_1113,277.0,L2,direct_phase_to_ground_voltage_magnitude,True,,bldg_163|group_167|group_29
egauge_4,L3,egauge_4-L3,V,voltage_magnitude,bus_1113.cg,bus_1113,277.0,L3,direct_phase_to_ground_voltage_magnitude,True,,bldg_163|group_167|group_29
egauge_4,CT1,egauge_4-CT1,A,current_magnitude,cb_145.a,cb_145,,S1,current_magnitude,False,2000.0,bldg_163|group_167|group_29
egauge_4,CT2,egauge_4-CT2,A,current_magnitude,cb_145.b,cb_145,,S2,current_magnitude,False,2000.0,bldg_163|group_167|group_29
egauge_4,CT3,egauge_4-CT3,A,current_magnitude,cb_145.c,cb_145,,S3,current_magnitude,False,2000.0,bldg_163|group_167|group_29
egauge_4,CT4,egauge_4-CT4,A,current_magnitude,cb_145.n,cb_145,,S4,current_magnitude,False,2000.0,bldg_163|group_167|group_29
egauge_5,Mains_Power,egauge_5-Mains_Power,W,real_power,cb_149,cb_149,,S1*L1+S2*L2+S3*L3,real_power,False,,bldg_160|group_88|group_204
egauge_5,L1,egauge_5-L1,V,voltage_magnitude,bus_1134.ag,bus_1134,277.0,L1,direct_phase_to_ground_voltage_magnitude,True,,bldg_160|group_88|group_204
egauge_5,L2,egauge_5-L2,V,voltage_magnitude,bus_1134.bg,bus_1134,277.0,L2,direct_phase_to_ground_voltage_magnitude,True,,bldg_160|group_88|group_204
egauge_5,L3,egauge_5-L3,V,voltage_magnitude,bus_1134.cg,bus_1134,277.0,L3,direct_phase_to_ground_voltage_magnitude,True,,bldg_160|group_88|group_204
egauge_5,CT1,egauge_5-CT1,A,current_magnitude,cb_149.a,cb_149,,S1,current_magnitude,False,640.0,bldg_160|group_88|group_204
egauge_5,CT2,egauge_5-CT2,A,current_magnitude,cb_149.b,cb_149,,S2,current_magnitude,False,640.0,bldg_160|group_88|group_204
egauge_5,CT3,egauge_5-CT3,A,current_magnitude,cb_149.c,cb_149,,S3,current_magnitude,False,640.0,bldg_160|group_88|group_204
egauge_6,Mains_Power,egauge_6-Mains_Power,W,real_power,cb_151,cb_151,,S1*L1+S2*L2+S3*L3,real_power,False,,bldg_160|group_89|group_205
egauge_6,L1,egauge_6-L1,V,voltage_magnitude,bus_1140.ag,bus_1140,277.0,L1,direct_phase_to_ground_voltage_magnitude,True,,bldg_160|group_89|group_205
egauge_6,L2,egauge_6-L2,V,voltage_magnitude,bus_1140.bg,bus_1140,277.0,L2,direct_phase_to_ground_voltage_magnitude,True,,bldg_160|group_89|group_205
egauge_6,L3,egauge_6-L3,V,voltage_magnitude,bus_1140.cg,bus_1140,277.0,L3,direct_phase_to_ground_voltage_magnitude,True,,bldg_160|group_89|group_205
egauge_6,CT1,egauge_6-CT1,A,current_magnitude,cb_151.a,cb_151,,S1,current_magnitude,False,640.0,bldg_160|group_89|group_205
egauge_6,CT2,egauge_6-CT2,A,current_magnitude,cb_151.b,cb_151,,S2,current_magnitude,False,640.0,bldg_160|group_89|group_205
egauge_6,CT3,egauge_6-CT3,A,current_magnitude,cb_151.c,cb_151,,S3,current_magnitude,False,640.0,bldg_160|group_89|group_205
egauge_7,Mains_Power,egauge_7-Mains_Power,W,real_power,cb_146,cb_146,,S1*L1+S2*L2+S3*L3,real_power,False,,ba_22|group_88|group_206
egauge_7,L1,egauge_7-L1,V,voltage_magnitude,bus_1119.ag,bus_1119,277.0,L1,direct_phase_to_ground_voltage_magnitude,True,,ba_22|group_88|group_206
egauge_7,L2,egauge_7-L2,V,voltage_magnitude,bus_1119.bg,bus_1119,277.0,L2,direct_phase_to_ground_voltage_magnitude,True,,ba_22|group_88|group_206
