node,B,phases,nominal_voltage,groups
bus_1014,0.0,abc,9526.3,vault_3|swa_7
bus_1015,0.0,abc,9526.3,vault_3|swa_7
bus_1016,0.0,abc,9526.3,vault_3|swa_7
bus_1017,0.0,abc,9526.3,vault_3|swa_7
bus_1018,0.0,abc,9526.3,vault_3|swa_7
bus_1019,0.0,abc,9526.3,vault_3|swa_7
bus_1020,0.0,abc,9526.3,vault_3|swa_7
bus_1021,0.0,abc,9526.3,vault_3|swa_8
bus_1022,0.0,abc,9526.3,vault_3|swa_8
bus_1023,0.0,abc,9526.3,vault_3|swa_8
bus_1024,0.0,abc,9526.3,vault_3|swa_8
bus_1025,0.0,abc,9526.3,vault_3|swa_8
bus_1026,0.0,abc,9526.3,vault_3|swa_8
bus_1027,0.0,abc,9526.3,vault_3|swa_9
bus_1028,0.0,abc,9526.3,vault_3|swa_9
bus_1029,0.0,abc,9526.3,vault_3|swa_9
bus_1030,0.0,abc,9526.3,vault_3|swa_9
bus_1031,0.0,abc,9526.3,ss_4|swgr_4
bus_1032,0.0,abc,9526.3,ss_4|swgr_4
bus_1033,0.0,abc,9526.3,ss_4|group_156
bus_1034,0.0,abc,1386.0,ss_4|group_156
bus_1035,0.0,abc,9526.3,ss_4|group_157
bus_1036,0.0,abc,1386.0,ss_4|group_157
bus_1037,0.0,abc,9526.3,ss_4|swgr_2
bus_1038,0.0,abc,9526.3,ss_4|swgr_2
bus_1039,0.0,abc,9526.3,ss_4|swgr_3
bus_1040,0.0,abc,9526.3,ss_4|swgr_3
bus_1041,0.0,abc,1386.0,ss_4|swgr_5|group_158
bus_1042,0.0,abcn,1386.0,ss_4|swgr_5|group_158
bus_1043,0.0,abc,1386.0,ss_4|swgr_5|group_158
bus_1044,0.0,abc,1386.0,ss_4|swgr_5|group_158
bus_1045,0.0,abc,1386.0,ss_4|swgr_5|group_158
bus_1046,0.0,abc,1386.0,ss_4|swgr_5|group_158
bus_1047,0.0,abcn,1386.0,ss_4|swgr_5|group_159
bus_1048,0.0,abc,1386.0,ss_4|swgr_5|group_159
bus_1049,0.0,abc,1386.0,ss_4|swgr_5|group_159
bus_1050,0.0,abc,1386.0,ss_4|swgr_5|group_159
bus_1051,0.0,abc,1386.0,ss_4|swgr_5|group_159
bus_1052,0.0,abc,1386.0,ss_4|swgr_5|group_159
bus_1053,0.0,abc,9526.3,ss_4
bus_1054,0.0,abc,1386.0,pad_1|swa_10
bus_1055,0.0,abc,1386.0,pad_1|swa_10
bus_1056,0.0,abc,1386.0,pad_1|swa_10
bus_1057,0.0,abc,1386.0,pad_1|swa_10
bus_1058,0.0,abc,1386.0,pad_1|swa_10
bus_1059,0.0,abc,1386.0,pad_1|swa_10
bus_1060,0.0,abc,1386.0,pad_1|swa_11
bus_1061,0.0,abc,1386.0,pad_1|swa_11
bus_1062,0.0,abc,1386.0,pad_1|swa_11
bus_1063,0.0,abc,1386.0,pad_1|swa_11
bus_1064,0.0,abc,1386.0,pad_1|swa_11
bus_1065,0.0,abc,1386.0,pad_1|swa_11
bus_1066,0.0,abc,1386.0,bldg_157|group_160
bus_1067,0.0,abc,1386.0,bldg_157|group_160
bus_1068,0.0,abc,1386.0,bldg_157|group_160|group_161
bus_1069,0.0,abc,277.0,bldg_157|group_161
bus_1070,0.0,abc,277.0,bldg_157|group_161
bus_1071,0.0,abc,277.0,bldg_157|group_161
bus_1072,0.0,abc,1386.0,bldg_157|group_162
bus_1073,0.0,abc,1386.0,bldg_157|group_162
bus_1074,0.0,abc,1386.0,bldg_157|group_162|group_163
bus_1075,0.0,abc,277.0,bldg_157|group_163
bus_1076,0.0,abc,277.0,bldg_157|group_163
bus_1077,0.0,abc,277.0,bldg_157|group_163
bus_1078,0.0,abc,277.0,bldg_164
bus_1079,0.0,abc,1386.0,bldg_158|group_164
bus_1080,0.0,abc,1386.0,bldg_158|group_164
bus_1081,0.0,abc,1386.0,bldg_158|group_164|group_28
bus_1082,0.0,abc,277.0,bldg_158|group_28
bus_1083,0.0,abc,277.0,bldg_158|group_28
bus_1084,0.0,abc,277.0,bldg_158|group_28
bus_1085,0.0,abc,1386.0,bldg_158|group_165
bus_1086,0.0,abc,1386.0,bldg_158|group_165
bus_1087,0.0,abc,1386.0,bldg_158|group_165|group_29
bus_1088,0.0,abc,277.0,bldg_158|group_29
bus_1089,0.0,abc,277.0,bldg_158|group_29
bus_1090,0.0,abc,277.0,bldg_158|group_29
bus_1091,0.0,abc,1386.0,bldg_159|group_18
bus_1092,0.0,abc,1386.0,bldg_159|group_18
bus_1093,0.0,abc,1386.0,bldg_159|group_18
bus_1094,0.0,abc,1386.0,bldg_159|group_18
bus_1095,0.0,abc,1386.0,bldg_159|group_18
bus_1096,0.0,abc,1386.0,bldg_159|group_18
bus_1097,0.0,abc,277.0,bldg_159|group_166
bus_1098,0.0,abc,277.0,bldg_159|group_166
bus_1099,0.0,abc,277.0,bldg_159|group_166
bus_1100,0.0,abc,277.0,bldg_159|group_167
bus_1101,0.0,abc,277.0,bldg_159|group_167
bus_1102,0.0,abc,277.0,bldg_159|group_167
bus_1103,0.0,abc,1386.0,bldg_163|group_168
bus_1104,0.0,abc,1386.0,bldg_163|group_168
bus_1105,0.0,abc,1386.0,bldg_163|group_168|group_88
bus_1106,0.0,abc,277.0,bldg_163|group_88
bus_1107,0.0,abc,277.0,bldg_163|group_88
bus_1108,0.0,abc,277.0,bldg_163|group_88
bus_1109,0.0,abc,1386.0,bldg_163|group_169
bus_1110,0.0,abc,1386.0,bldg_163|group_169
bus_1111,0.0,abc,1386.0,bldg_163|group_169|group_89
bus_1112,0.0,abc,277.0,bldg_163|group_89
bus_1113,0.0,abc,277.0,bldg_163|group_89
bus_1114,0.0,abc,277.0,bldg_163|group_89
bus_1115,0.0,abc,1386.0,ba_22|group_137
bus_1116,0.0,abc,1386.0,ba_22|group_137
bus_1117,0.0,abc,1386.0,ba_22|group_137|group_88
bus_1118,0.0,abc,277.0,ba_22|group_88
bus_1119,0.0,abc,277.0,ba_22|group_88
bus_1120,0.0,abc,277.0,ba_22|group_88
bus_1121,0.0,abc,1386.0,ba_22|group_140
bus_1122,0.0,abc,1386.0,ba_22|group_140
bus_1123,0.0,abc,1386.0,ba_22|group_140|group_89
bus_1124,0.0,abc,277.0,ba_22|group_89
bus_1125,0.0,abc,277.0,ba_22|group_89
bus_1126,0.0,abc,277.0,ba_22|group_89
bus_1127,0.0,abc,277.0,bldg_160
bus_1128,0.0,abc,1386.0,bldg_160|group_18|group_170
bus_1129,0.0,abc,1386.0,bldg_160|group_18|group_170
bus_1130,0.0,abc,1386.0,bldg_160|group_18|group_171|group_88
bus_1131,0.0,abc,1386.0,bldg_160|group_18|group_171|group_88
bus_1132,0.0,abc,1386.0,bldg_160|group_18|group_88
bus_1133,0.0,abc,277.0,bldg_160|group_88
bus_1134,0.0,abc,277.0,bldg_160|group_88
bus_1135,0.0,abcn,277.0,bldg_160|group_88
bus_1136,0.0,abc,1386.0,bldg_160|group_18|group_172|group_89
bus_1137,0.0,abc,1386.0,bldg_160|group_18|group_172|group_89
bus_1138,0.0,abc,1386.0,bldg_160|group_18|group_89
bus_1139,0.0,abc,277.0,bldg_160|group_89
bus_1140,0.0,abc,277.0,bldg_160|group_89
bus_1141,0.0,abc,277.0,bldg_160|group_89
bus_1142,0.0,abc,1386.0,bldg_160|swa_12
bus_1143,0.0,abc,1386.0,bldg_160|swa_12
bus_1144,0.0,abc,1386.0,bldg_160|swa_12
bus_1145,0.0,abc,1386.0,bldg_160|swa_12
bus_1146,0.0,abc,1386.0,bldg_160|swa_12
bus_1147,0.0,abc,1386.0,bldg_160|swa_12
bus_1148,0.0,abc,1386.0,bldg_160|swa_13
bus_1149,0.0,abc,1386.0,bldg_160|swa_13
bus_1150,0.0,abc,1386.0,bldg_160|swa_13
bus_1151,0.0,abc,1386.0,bldg_160|swa_13
bus_1152,0.0,abc,1386.0,bldg_160|swa_13
bus_1153,0.0,abc,1386.0,bldg_160|swa_13
bus_1154,0.0,abc,1386.0,plant_2|swa_14
bus_1155,0.0,abc,1386.0,plant_2|swa_14
bus_1156,0.0,abc,1386.0,plant_2|swa_14
bus_1157,0.0,abc,1386.0,plant_2|swa_14
bus_1158,0.0,abc,1386.0,plant_2|group_173|group_174
bus_1159,0.0,abc,1386.0,plant_2|group_173
bus_1160,0.0,abc,,plant_2|group_173|bldg_166
bus_1161,0.0,abcn,277.0,plant_2|group_173|bldg_167|swbd_2
bus_1162,0.0,abc,277.0,plant_2|group_173|bldg_167|swbd_2
bus_1163,0.0,abc,277.0,plant_2|group_173|bldg_167|swbd_2
bus_1164,0.0,abc,277.0,plant_2|group_173|bldg_167|swbd_2
bus_1165,0.0,abc,1386.0,plant_2|group_175|plant_1
bus_1166,0.0,abc,1386.0,plant_2|group_175|plant_1
bus_1167,0.0,abc,1386.0,plant_2|group_176|group_170|plant_1
bus_1168,0.0,abc,1386.0,plant_2|group_176|plant_1
bus_1169,0.0,abc,1386.0,plant_2|group_176|group_177|plant_1
bus_1170,0.0,abc,1386.0,plant_2|group_176|plant_1
bus_1171,0.0,abc,1386.0,plant_2|group_174
bus_1172,0.0,abc,277.0,plant_2|group_173|group_178|bldg_167
bus_1173,0.0,abc,,plant_2|group_173|bldg_167
bus_1174,0.0,abc,277.0,plant_2|group_173|swbd_2|bldg_167
bus_1175,0.0,abc,277.0,plant_2|group_173|swbd_2|bldg_167
bus_1176,0.0,abc,277.0,plant_2|group_176|plant_1|swbd_3
bus_1177,0.0,abc,277.0,plant_2|group_176|plant_1|swbd_3
bus_1178,0.0,abc,277.0,plant_2|group_176|plant_1|swbd_3
bus_1179,0.0,abc,277.0,plant_2|group_176|plant_1|swbd_3
bus_1180,0.0,abc,277.0,plant_2|group_176|plant_1|swbd_3
bus_1181,0.0,abc,277.0,plant_2|group_176|plant_1|swbd_3
bus_1182,0.0,abc,277.0,plant_2|group_176|plant_1|swbd_3
bus_1183,0.0,abc,277.0,plant_2|group_176|plant_1|swbd_3
bus_1184,0.0,abcn,240.0,plant_2|group_176|plant_1|swbd_4
bus_1185,0.0,abc,240.0,plant_2|group_176|plant_1|swbd_4
bus_1186,0.0,abc,240.0,plant_2|group_176|plant_1|swbd_4
bus_1187,0.0,abc,240.0,plant_2|group_176|plant_1|swbd_4
bus_1188,0.0,abc,240.0,plant_2|group_176|plant_1|swbd_4
bus_1189,0.0,abc,240.0,plant_2|group_176|plant_1|swbd_4
bus_1190,0.0,abc,240.0,plant_2|group_176|plant_1|swbd_4
bus_1191,0.0,abc,240.0,plant_2|group_176|plant_1|swbd_4
bus_1192,0.0,abcn,277.0,plant_2|group_175|plant_1|swbd_5
bus_1193,0.0,abc,277.0,plant_2|group_175|plant_1|swbd_5
bus_1194,0.0,abc,277.0,plant_2|group_175|plant_1|swbd_5
bus_1195,0.0,abc,277.0,plant_2|group_175|plant_1|swbd_5
bus_1196,0.0,abc,277.0,plant_2|group_175|plant_1|swbd_5
bus_1197,0.0,abc,277.0,plant_2|group_175|plant_1|swbd_5
bus_1198,0.0,abc,277.0,plant_2|group_175|plant_1|swbd_5
bus_1199,0.0,abc,9526.3,ss_4
bus_1200,0.0,abc,9526.3,ss_4
