event_time,element,element_type,port_index,source,target,previous_status,new_status,event_kind,status_file
2023-09-17T11:02:10,cb_123,CB,1,bus_1041,bus_1042,NC,NO,opening,cb_123-tbus_status.csv
2023-09-17T11:02:10,cb_128,CB,1,bus_1042,bus_1047,NO,NC,closing,cb_128-tbus_status.csv
2023-09-17T14:04:17,cb_146,CB,1,bus_1118,bus_1119,NC,NO,opening,cb_146-tbus_status.csv
2023-09-17T14:04:17,cb_147,CB,1,bus_1119,bus_1125,NO,NC,closing,cb_147-tbus_status.csv
2023-09-26T14:49:50,cb_146,CB,1,bus_1118,bus_1119,NO,NC,closing,cb_146-tbus_status.csv
2023-09-26T14:49:50,cb_147,CB,1,bus_1119,bus_1125,NC,NO,opening,cb_147-tbus_status.csv
2023-09-26T15:12:10,cb_123,CB,1,bus_1041,bus_1042,NO,NC,closing,cb_123-tbus_status.csv
2023-09-26T15:12:10,cb_128,CB,1,bus_1042,bus_1047,NC,NO,opening,cb_128-tbus_status.csv
2023-11-26T09:26:30,cb_123,CB,1,bus_1041,bus_1042,NC,NO,opening,cb_123-tbus_status.csv
2023-11-26T09:26:30,cb_128,CB,1,bus_1042,bus_1047,NO,NC,closing,cb_128-tbus_status.csv
2023-11-26T09:27:10,cb_134,CB,1,bus_1069,bus_1070,NC,NO,opening,cb_134-tbus_status.csv
2023-11-26T09:27:10,cb_135,CB,1,bus_1070,bus_1076,NO,NC,closing,cb_135-tbus_status.csv
2023-11-26T09:27:10,cb_137,CB,1,bus_1082,bus_1083,NC,NO,opening,cb_137-tbus_status.csv
2023-11-26T09:27:10,cb_138,CB,1,bus_1083,bus_1089,NO,NC,closing,cb_138-tbus_status.csv
2023-11-26T09:27:10,cb_140,CB,1,bus_1097,bus_1098,NC,NO,opening,cb_140-tbus_status.csv
2023-11-26T09:27:10,cb_142,CB,1,bus_1098,bus_1101,NO,NC,closing,cb_142-tbus_status.csv
2023-12-07T10:30:00,cb_123,CB,1,bus_1041,bus_1042,NO,NC,closing,cb_123-tbus_status.csv
2023-12-07T10:30:00,cb_128,CB,1,bus_1042,bus_1047,NC,NO,opening,cb_128-tbus_status.csv
2023-12-07T11:14:50,cb_134,CB,1,bus_1069,bus_1070,NO,NC,closing,cb_134-tbus_status.csv
2023-12-07T11:14:50,cb_135,CB,1,bus_1070,bus_1076,NC,NO,opening,cb_135-tbus_status.csv
2023-12-07T11:14:50,cb_137,CB,1,bus_1082,bus_1083,NO,NC,closing,cb_137-tbus_status.csv
2023-12-07T11:14:50,cb_138,CB,1,bus_1083,bus_1089,NC,NO,opening,cb_138-tbus_status.csv
2023-12-07T11:14:50,cb_140,CB,1,bus_1097,bus_1098,NO,NC,closing,cb_140-tbus_status.csv
2023-12-07T11:14:50,cb_142,CB,1,bus_1098,bus_1101,NC,NO,opening,cb_142-tbus_status.csv
2024-02-01T00:00:00,cb_143,CB,1,bus_1106,bus_1107,NO,NC,closing,cb_143-tbus_status.csv
2024-02-01T00:00:00,cb_145,CB,1,bus_1112,bus_1113,NO,NC,closing,cb_145-tbus_status.csv
2024-11-13T17:52:20,cb_121,CB,1,bus_1037,bus_1038,NC,NO,opening,cb_121-tbus_status.csv
2024-11-13T17:52:20,cb_123,CB,1,bus_1041,bus_1042,NC,NO,opening,cb_123-tbus_status.csv
2024-11-13T17:52:20,swmp_17,SwitchMultiPosition,2,bus_1016,bus_1017,NC,NO,opening,swmp_17-2-tbus_status.csv
2024-11-13T17:52:28,cb_128,CB,1,bus_1042,bus_1047,NO,NC,closing,cb_128-tbus_status.csv
2024-11-13T23:09:00,cb_121,CB,1,bus_1037,bus_1038,NO,NC,closing,cb_121-tbus_status.csv
2024-11-13T23:20:05,cb_123,CB,1,bus_1041,bus_1042,NO,NC,closing,cb_123-tbus_status.csv
2024-11-13T23:20:21,cb_128,CB,1,bus_1042,bus_1047,NC,NO,opening,cb_128-tbus_status.csv
2024-11-13T23:30:42,swmp_17,SwitchMultiPosition,2,bus_1016,bus_1017,NO,NC,closing,swmp_17-2-tbus_status.csv
