source,target,C,L,tau
N1,N4,100,55,1.0
N1,N5,100,45,1.0
N2,N5,100,60,1.0
N2,N6,100,50,1.0
N3,N6,100,65,1.0
N3,N7,100,40,1.0
N4,N8,100,60,1.0
N5,N8,100,70,1.0
N5,N9,100,55,1.0
N6,N9,100,75,1.0
N6,N10,100,65,1.0
N7,N10,100,50,1.0
N8,N11,100,70,1.0
N8,N12,100,45,1.0
N9,N12,100,80,1.0
N9,N13,100,70,1.0
N10,N13,100,85,1.0
N10,N14,100,60,1.0
N11,N15,100,75,1.0
N12,N15,100,65,1.0
N12,N16,100,70,1.0
N13,N16,100,90,1.0
N13,N17,100,80,1.0
N14,N17,100,55,1.0
N15,N18,100,75,1.0
N16,N19,100,85,1.0
N17,N20,100,70,1.0
