Network,From,To,Capacity_C,Load_L,Utilization_u,Susceptibility_S,Tau_baseline
N1_Linear,A,B,1.0,0.8,0.8,0.8,1.0
N1_Linear,B,C,1.0,0.65,0.65,0.65,1.0
N1_Linear,C,D,1.0,0.55,0.55,0.55,1.0
N1_Linear,D,E,1.0,0.45,0.45,0.45,1.0
N1_Linear,E,F,1.0,0.35,0.35,0.35,1.0
N2_Branching,A,B,1.0,0.75,0.75,0.75,1.0
N2_Branching,B,C,1.0,0.6,0.6,0.6,1.0
N2_Branching,B,D,1.2,0.48,0.4,0.4,1.0
N2_Branching,C,E,0.9,0.63,0.7,0.7,1.0
N2_Branching,C,F,1.1,0.44,0.39999999999999997,0.39999999999999997,1.0
N2_Branching,D,G,1.0,0.5,0.5,0.5,1.0
N2_Branching,D,H,1.3,0.39,0.3,0.3,1.0
N3_Converging,A,C,1.0,0.55,0.55,0.55,1.0
N3_Converging,B,D,1.0,0.7,0.7,0.7,1.0
N3_Converging,C,E,0.9,0.54,0.6,0.6,1.0
N3_Converging,D,E,1.1,0.66,0.6,0.6,1.0
N3_Converging,E,F,1.0,0.8,0.8,0.8,1.0
N3_Converging,F,G,1.2,0.72,0.6,0.6,1.0
N3_Converging,G,H,1.1,0.55,0.5,0.5,1.0
N4_Diamond,A,B,1.0,0.7,0.7,0.7,1.0
N4_Diamond,B,C,1.0,0.6,0.6,0.6,1.0
N4_Diamond,B,D,1.0,0.6,0.6,0.6,1.0
N4_Diamond,C,E,0.9,0.63,0.7,0.7,1.0
N4_Diamond,D,E,1.1,0.66,0.6,0.6,1.0
N4_Diamond,E,F,1.0,0.75,0.75,0.75,1.0
N4_Diamond,F,G,1.2,0.6,0.5,0.5,1.0
N5_Mixed20,N1,N4,1.2,0.72,0.6,0.6,1.0
N5_Mixed20,N2,N4,1.0,0.65,0.65,0.65,1.0
N5_Mixed20,N3,N5,1.1,0.55,0.5,0.5,1.0
N5_Mixed20,N4,N6,1.0,0.8,0.8,0.8,1.0
N5_Mixed20,N4,N7,1.3,0.65,0.5,0.5,1.0
N5_Mixed20,N5,N7,0.9,0.63,0.7,0.7,1.0
N5_Mixed20,N5,N8,1.2,0.54,0.45000000000000007,0.45000000000000007,1.0
N5_Mixed20,N6,N9,0.95,0.76,0.8,0.8,1.0
N5_Mixed20,N7,N9,1.1,0.77,0.7,0.7,1.0
N5_Mixed20,N7,N10,1.2,0.6,0.5,0.5,1.0
N5_Mixed20,N8,N10,1.0,0.55,0.55,0.55,1.0
N5_Mixed20,N9,N11,1.0,0.85,0.85,0.85,1.0
N5_Mixed20,N9,N12,1.3,0.65,0.5,0.5,1.0
N5_Mixed20,N10,N12,1.1,0.66,0.6,0.6,1.0
N5_Mixed20,N10,N13,1.25,0.625,0.5,0.5,1.0
N5_Mixed20,N11,N14,1.0,0.8,0.8,0.8,1.0
N5_Mixed20,N12,N14,1.2,0.72,0.6,0.6,1.0
N5_Mixed20,N12,N15,1.1,0.55,0.5,0.5,1.0
N5_Mixed20,N13,N15,0.9,0.54,0.6,0.6,1.0
N5_Mixed20,N14,N16,1.0,0.9,0.9,0.9,1.0
N5_Mixed20,N15,N16,1.2,0.72,0.6,0.6,1.0
N5_Mixed20,N15,N17,1.1,0.66,0.6,0.6,1.0
N5_Mixed20,N16,N18,1.3,0.78,0.6,0.6,1.0
N5_Mixed20,N17,N18,1.0,0.6,0.6,0.6,1.0
N5_Mixed20,N17,N19,1.2,0.6,0.5,0.5,1.0
N5_Mixed20,N18,N20,1.1,0.77,0.7,0.7,1.0
N5_Mixed20,N19,N20,1.3,0.65,0.5,0.5,1.0
