Network,Node,Role,Local_Blockage_B
N1_Linear,A,Source,0.8
N1_Linear,B,Junction,0.0
N1_Linear,C,Junction,0.0
N1_Linear,D,Junction,0.0
N1_Linear,E,Junction,0.0
N1_Linear,F,Outlet,0.0
N2_Branching,A,Source,0.8
N2_Branching,B,Junction,0.0
N2_Branching,C,Junction,0.0
N2_Branching,D,Junction,0.0
N2_Branching,E,Junction,0.0
N2_Branching,F,Junction,0.0
N2_Branching,G,Junction,0.0
N2_Branching,H,Junction,0.0
N3_Converging,A,Source,0.7
N3_Converging,B,Source,0.55
N3_Converging,C,Junction,0.0
N3_Converging,D,Junction,0.0
N3_Converging,E,Junction,0.0
N3_Converging,F,Junction,0.0
N3_Converging,G,Junction,0.0
N3_Converging,H,Outlet,0.0
N4_Diamond,A,Source,0.8
N4_Diamond,B,Junction,0.0
N4_Diamond,C,Junction,0.0
N4_Diamond,D,Junction,0.0
N4_Diamond,E,Junction,0.0
N4_Diamond,F,Junction,0.0
N4_Diamond,G,Outlet,0.0
N5_Mixed20,N1,Source,0.75
N5_Mixed20,N2,Source,0.55
N5_Mixed20,N3,Source,0.65
N5_Mixed20,N4,Junction,0.0
N5_Mixed20,N5,Junction,0.0
N5_Mixed20,N6,Junction,0.0
N5_Mixed20,N7,Junction,0.0
N5_Mixed20,N8,Junction,0.0
N5_Mixed20,N9,Junction,0.0
N5_Mixed20,N10,Junction,0.25
N5_Mixed20,N11,Junction,0.0
N5_Mixed20,N12,Junction,0.0
N5_Mixed20,N13,Junction,0.0
N5_Mixed20,N14,Junction,0.0
N5_Mixed20,N15,Junction,0.0
N5_Mixed20,N16,Junction,0.0
N5_Mixed20,N17,Junction,0.0
N5_Mixed20,N18,Junction,0.0
N5_Mixed20,N19,Junction,0.0
N5_Mixed20,N20,Outlet,0.0
