source,target,S,tau,requirement,deps_dev_dependent_index,deps_dev_dependency_index
npm:accepts@1.3.8,npm:express@4.18.2,1.0,1.0,~1.3.8,0,1
npm:array-flatten@1.1.1,npm:express@4.18.2,1.0,1.0,1.1.1,0,2
npm:body-parser@1.20.1,npm:express@4.18.2,1.0,1.0,1.20.1,0,5
npm:content-disposition@0.5.4,npm:express@4.18.2,1.0,1.0,0.5.4,0,9
npm:content-type@1.0.5,npm:express@4.18.2,1.0,1.0,~1.0.4,0,10
npm:cookie@0.5.0,npm:express@4.18.2,1.0,1.0,0.5.0,0,11
npm:cookie-signature@1.0.6,npm:express@4.18.2,1.0,1.0,1.0.6,0,12
npm:debug@2.6.9,npm:express@4.18.2,1.0,1.0,2.6.9,0,13
npm:depd@2.0.0,npm:express@4.18.2,1.0,1.0,2.0.0,0,14
npm:encodeurl@1.0.2,npm:express@4.18.2,1.0,1.0,~1.0.2,0,18
npm:escape-html@1.0.3,npm:express@4.18.2,1.0,1.0,~1.0.3,0,22
npm:etag@1.8.1,npm:express@4.18.2,1.0,1.0,~1.8.1,0,23
npm:finalhandler@1.2.0,npm:express@4.18.2,1.0,1.0,1.2.0,0,24
npm:fresh@0.5.2,npm:express@4.18.2,1.0,1.0,0.5.2,0,26
npm:http-errors@2.0.0,npm:express@4.18.2,1.0,1.0,2.0.0,0,34
npm:merge-descriptors@1.0.1,npm:express@4.18.2,1.0,1.0,1.0.1,0,40
npm:methods@1.1.2,npm:express@4.18.2,1.0,1.0,~1.1.2,0,41
npm:on-finished@2.4.1,npm:express@4.18.2,1.0,1.0,2.4.1,0,49
npm:parseurl@1.3.3,npm:express@4.18.2,1.0,1.0,~1.3.3,0,50
npm:path-to-regexp@0.1.7,npm:express@4.18.2,1.0,1.0,0.1.7,0,51
npm:proxy-addr@2.0.8,npm:express@4.18.2,1.0,1.0,~2.0.7,0,52
npm:qs@6.11.0,npm:express@4.18.2,1.0,1.0,6.11.0,0,53
npm:range-parser@1.2.1,npm:express@4.18.2,1.0,1.0,~1.2.1,0,54
npm:safe-buffer@5.2.1,npm:express@4.18.2,1.0,1.0,5.2.1,0,56
npm:send@0.18.0,npm:express@4.18.2,1.0,1.0,0.18.0,0,58
npm:serve-static@1.15.0,npm:express@4.18.2,1.0,1.0,1.15.0,0,59
npm:setprototypeof@1.2.0,npm:express@4.18.2,1.0,1.0,1.2.0,0,60
npm:statuses@2.0.1,npm:express@4.18.2,1.0,1.0,2.0.1,0,65
npm:type-is@1.6.18,npm:express@4.18.2,1.0,1.0,~1.6.18,0,67
npm:utils-merge@1.0.1,npm:express@4.18.2,1.0,1.0,1.0.1,0,69
npm:vary@1.1.2,npm:express@4.18.2,1.0,1.0,~1.1.2,0,70
npm:mime-types@2.1.35,npm:accepts@1.3.8,1.0,1.0,~2.1.34,1,44
npm:negotiator@0.6.3,npm:accepts@1.3.8,1.0,1.0,0.6.3,1,47
npm:bytes@3.1.2,npm:body-parser@1.20.1,1.0,1.0,3.1.2,5,6
npm:content-type@1.0.5,npm:body-parser@1.20.1,1.0,1.0,~1.0.4,5,10
npm:debug@2.6.9,npm:body-parser@1.20.1,1.0,1.0,2.6.9,5,13
npm:depd@2.0.0,npm:body-parser@1.20.1,1.0,1.0,2.0.0,5,14
npm:destroy@1.2.0,npm:body-parser@1.20.1,1.0,1.0,1.2.0,5,15
npm:http-errors@2.0.0,npm:body-parser@1.20.1,1.0,1.0,2.0.0,5,34
npm:iconv-lite@0.4.24,npm:body-parser@1.20.1,1.0,1.0,0.4.24,5,35
npm:on-finished@2.4.1,npm:body-parser@1.20.1,1.0,1.0,2.4.1,5,49
npm:qs@6.11.0,npm:body-parser@1.20.1,1.0,1.0,6.11.0,5,53
npm:raw-body@2.5.1,npm:body-parser@1.20.1,1.0,1.0,2.5.1,5,55
npm:type-is@1.6.18,npm:body-parser@1.20.1,1.0,1.0,~1.6.18,5,67
npm:unpipe@1.0.0,npm:body-parser@1.20.1,1.0,1.0,1.0.0,5,68
npm:es-errors@1.3.0,npm:call-bind-apply-helpers@1.0.2,1.0,1.0,^1.3.0,7,20
npm:function-bind@1.1.2,npm:call-bind-apply-helpers@1.0.2,1.0,1.0,^1.1.2,7,27
npm:call-bind-apply-helpers@1.0.2,npm:call-bound@1.0.4,1.0,1.0,^1.0.2,8,7
npm:get-intrinsic@1.3.1,npm:call-bound@1.0.4,1.0,1.0,^1.3.0,8,29
npm:safe-buffer@5.2.1,npm:content-disposition@0.5.4,1.0,1.0,5.2.1,9,56
npm:ms@2.0.0,npm:debug@2.6.9,1.0,1.0,2.0.0,13,45
npm:call-bind-apply-helpers@1.0.2,npm:dunder-proto@1.0.1,1.0,1.0,^1.0.1,16,7
npm:es-errors@1.3.0,npm:dunder-proto@1.0.1,1.0,1.0,^1.3.0,16,20
npm:gopd@1.2.0,npm:dunder-proto@1.0.1,1.0,1.0,^1.2.0,16,31
npm:es-errors@1.3.0,npm:es-object-atoms@1.1.2,1.0,1.0,^1.3.0,21,20
npm:debug@2.6.9,npm:finalhandler@1.2.0,1.0,1.0,2.6.9,24,13
npm:encodeurl@1.0.2,npm:finalhandler@1.2.0,1.0,1.0,~1.0.2,24,18
npm:escape-html@1.0.3,npm:finalhandler@1.2.0,1.0,1.0,~1.0.3,24,22
npm:on-finished@2.4.1,npm:finalhandler@1.2.0,1.0,1.0,2.4.1,24,49
