node,deps_dev_index,ecosystem,package,version,relation_to_root,bundled,B,max_severity,advisory_count,advisory_ids
npm:express@4.18.2,0,npm,express,4.18.2,SELF,False,0.5,MODERATE,2,GHSA-qw6h-vgh9-j6wx|GHSA-rv95-896h-c2vc
npm:accepts@1.3.8,1,npm,accepts,1.3.8,DIRECT,False,0.0,NONE,0,
npm:array-flatten@1.1.1,2,npm,array-flatten,1.1.1,DIRECT,False,0.0,NONE,0,
npm:async-function@1.0.0,3,npm,async-function,1.0.0,INDIRECT,False,0.0,NONE,0,
npm:async-generator-function@1.0.0,4,npm,async-generator-function,1.0.0,INDIRECT,False,0.0,NONE,0,
npm:body-parser@1.20.1,5,npm,body-parser,1.20.1,DIRECT,False,0.75,HIGH,2,GHSA-qwcr-r2fm-qrc7|GHSA-v422-hmwv-36x6
npm:bytes@3.1.2,6,npm,bytes,3.1.2,INDIRECT,False,0.0,NONE,0,
npm:call-bind-apply-helpers@1.0.2,7,npm,call-bind-apply-helpers,1.0.2,INDIRECT,False,0.0,NONE,0,
npm:call-bound@1.0.4,8,npm,call-bound,1.0.4,INDIRECT,False,0.0,NONE,0,
npm:content-disposition@0.5.4,9,npm,content-disposition,0.5.4,DIRECT,False,0.0,NONE,0,
npm:content-type@1.0.5,10,npm,content-type,1.0.5,DIRECT,False,0.0,NONE,0,
npm:cookie@0.5.0,11,npm,cookie,0.5.0,DIRECT,False,0.25,LOW,1,GHSA-pxg6-pf52-xh8x
npm:cookie-signature@1.0.6,12,npm,cookie-signature,1.0.6,DIRECT,False,0.0,NONE,0,
npm:debug@2.6.9,13,npm,debug,2.6.9,DIRECT,False,0.0,NONE,0,
npm:depd@2.0.0,14,npm,depd,2.0.0,DIRECT,False,0.0,NONE,0,
npm:destroy@1.2.0,15,npm,destroy,1.2.0,INDIRECT,False,0.0,NONE,0,
npm:dunder-proto@1.0.1,16,npm,dunder-proto,1.0.1,INDIRECT,False,0.0,NONE,0,
npm:ee-first@1.1.1,17,npm,ee-first,1.1.1,INDIRECT,False,0.0,NONE,0,
npm:encodeurl@1.0.2,18,npm,encodeurl,1.0.2,DIRECT,False,0.0,NONE,0,
npm:es-define-property@1.0.1,19,npm,es-define-property,1.0.1,INDIRECT,False,0.0,NONE,0,
npm:es-errors@1.3.0,20,npm,es-errors,1.3.0,INDIRECT,False,0.0,NONE,0,
npm:es-object-atoms@1.1.2,21,npm,es-object-atoms,1.1.2,INDIRECT,False,0.0,NONE,0,
npm:escape-html@1.0.3,22,npm,escape-html,1.0.3,DIRECT,False,0.0,NONE,0,
npm:etag@1.8.1,23,npm,etag,1.8.1,DIRECT,False,0.0,NONE,0,
npm:finalhandler@1.2.0,24,npm,finalhandler,1.2.0,DIRECT,False,0.0,NONE,0,
npm:forwarded@0.2.0,25,npm,forwarded,0.2.0,INDIRECT,False,0.0,NONE,0,
npm:fresh@0.5.2,26,npm,fresh,0.5.2,DIRECT,False,0.0,NONE,0,
npm:function-bind@1.1.2,27,npm,function-bind,1.1.2,INDIRECT,False,0.0,NONE,0,
npm:generator-function@2.0.1,28,npm,generator-function,2.0.1,INDIRECT,False,0.0,NONE,0,
npm:get-intrinsic@1.3.1,29,npm,get-intrinsic,1.3.1,INDIRECT,False,0.0,NONE,0,
npm:get-proto@1.0.1,30,npm,get-proto,1.0.1,INDIRECT,False,0.0,NONE,0,
npm:gopd@1.2.0,31,npm,gopd,1.2.0,INDIRECT,False,0.0,NONE,0,
npm:has-symbols@1.1.0,32,npm,has-symbols,1.1.0,INDIRECT,False,0.0,NONE,0,
npm:hasown@2.0.4,33,npm,hasown,2.0.4,INDIRECT,False,0.0,NONE,0,
npm:http-errors@2.0.0,34,npm,http-errors,2.0.0,DIRECT,False,0.0,NONE,0,
npm:iconv-lite@0.4.24,35,npm,iconv-lite,0.4.24,INDIRECT,False,0.0,NONE,0,
npm:inherits@2.0.4,36,npm,inherits,2.0.4,INDIRECT,False,0.0,NONE,0,
npm:ipaddr.js@1.9.1,37,npm,ipaddr.js,1.9.1,INDIRECT,False,0.0,NONE,0,
npm:math-intrinsics@1.1.0,38,npm,math-intrinsics,1.1.0,INDIRECT,False,0.0,NONE,0,
npm:media-typer@0.3.0,39,npm,media-typer,0.3.0,INDIRECT,False,0.0,NONE,0,
npm:merge-descriptors@1.0.1,40,npm,merge-descriptors,1.0.1,DIRECT,False,0.0,NONE,0,
npm:methods@1.1.2,41,npm,methods,1.1.2,DIRECT,False,0.0,NONE,0,
npm:mime@1.6.0,42,npm,mime,1.6.0,INDIRECT,False,0.0,NONE,0,
npm:mime-db@1.52.0,43,npm,mime-db,1.52.0,INDIRECT,False,0.0,NONE,0,
npm:mime-types@2.1.35,44,npm,mime-types,2.1.35,INDIRECT,False,0.0,NONE,0,
npm:ms@2.0.0,45,npm,ms,2.0.0,INDIRECT,False,0.0,NONE,0,
npm:ms@2.1.3,46,npm,ms,2.1.3,INDIRECT,False,0.0,NONE,0,
npm:negotiator@0.6.3,47,npm,negotiator,0.6.3,INDIRECT,False,0.0,NONE,0,
npm:object-inspect@1.13.4,48,npm,object-inspect,1.13.4,INDIRECT,False,0.0,NONE,0,
npm:on-finished@2.4.1,49,npm,on-finished,2.4.1,DIRECT,False,0.0,NONE,0,
npm:parseurl@1.3.3,50,npm,parseurl,1.3.3,DIRECT,False,0.0,NONE,0,
npm:path-to-regexp@0.1.7,51,npm,path-to-regexp,0.1.7,DIRECT,False,0.75,HIGH,3,GHSA-37ch-88jc-xwx2|GHSA-9wv6-86v2-598j|GHSA-rhx6-c78j-4q9w
npm:proxy-addr@2.0.8,52,npm,proxy-addr,2.0.8,DIRECT,False,0.0,NONE,0,
npm:qs@6.11.0,53,npm,qs,6.11.0,DIRECT,False,0.5,MODERATE,3,GHSA-4mjr-xmp4-gh2g|GHSA-6rw7-vpxm-498p|GHSA-w7fw-mjwx-w883
npm:range-parser@1.2.1,54,npm,range-parser,1.2.1,DIRECT,False,0.0,NONE,0,
npm:raw-body@2.5.1,55,npm,raw-body,2.5.1,INDIRECT,False,0.0,NONE,0,
npm:safe-buffer@5.2.1,56,npm,safe-buffer,5.2.1,DIRECT,False,0.0,NONE,0,
npm:safer-buffer@2.1.2,57,npm,safer-buffer,2.1.2,INDIRECT,False,0.0,NONE,0,
npm:send@0.18.0,58,npm,send,0.18.0,DIRECT,False,0.25,LOW,1,GHSA-m6fv-jmcg-4jfg
npm:serve-static@1.15.0,59,npm,serve-static,1.15.0,DIRECT,False,0.25,LOW,1,GHSA-cm22-4g7w-348p
npm:setprototypeof@1.2.0,60,npm,setprototypeof,1.2.0,DIRECT,False,0.0,NONE,0,
