Node,AvgDepth,MaxDepth,MaxHGL,FloodHours,MaxFloodRate,FloodVolume,Scenario
N1,0.19,0.31,50.31,0.0,0.0,0.0,N5_SWMM_base
N2,0.17,0.28,50.28,0.0,0.0,0.0,N5_SWMM_base
N3,0.19,0.31,50.31,0.0,0.0,0.0,N5_SWMM_base
N4,0.19,0.32,48.92,0.0,0.0,0.0,N5_SWMM_base
N5,0.17,0.29,48.89,0.0,0.0,0.0,N5_SWMM_base
N6,0.17,0.29,48.89,0.0,0.0,0.0,N5_SWMM_base
N7,0.19,0.33,48.93,0.0,0.0,0.0,N5_SWMM_base
N8,0.26,0.45,47.65,0.0,0.0,0.0,N5_SWMM_base
N9,0.19,0.33,47.53,0.0,0.0,0.0,N5_SWMM_base
N10,0.19,0.33,47.53,0.0,0.0,0.0,N5_SWMM_base
N11,0.56,1.69,47.49,0.0,0.0,0.0,N5_SWMM_base
N12,0.49,1.66,47.46,0.0,0.0,0.0,N5_SWMM_base
N13,0.65,1.74,47.54,0.0,0.0,0.0,N5_SWMM_base
N14,0.23,0.72,46.52,0.0,0.0,0.0,N5_SWMM_base
N15,1.11,3.03,47.43,0.84,0.256,0.155,N5_SWMM_base
N16,1.14,3.05,47.45,0.86,0.267,0.149,N5_SWMM_base
N17,0.59,1.94,46.34,0.0,0.0,0.0,N5_SWMM_base
N18,1.75,4.24,47.24,1.21,0.53,0.361,N5_SWMM_base
N19,2.03,4.62,46.22,1.43,0.307,0.423,N5_SWMM_base
N20,0.53,0.75,40.75,0.0,0.0,0.0,N5_SWMM_base
N1,0.19,0.32,50.32,0.0,0.0,0.0,N5_block_N1_N5_25
N2,0.17,0.28,50.28,0.0,0.0,0.0,N5_block_N1_N5_25
N3,0.19,0.31,50.31,0.0,0.0,0.0,N5_block_N1_N5_25
N4,0.19,0.32,48.92,0.0,0.0,0.0,N5_block_N1_N5_25
N5,0.17,0.29,48.89,0.0,0.0,0.0,N5_block_N1_N5_25
N6,0.17,0.29,48.89,0.0,0.0,0.0,N5_block_N1_N5_25
N7,0.19,0.33,48.93,0.0,0.0,0.0,N5_block_N1_N5_25
N8,0.27,0.46,47.66,0.0,0.0,0.0,N5_block_N1_N5_25
N9,0.19,0.33,47.53,0.0,0.0,0.0,N5_block_N1_N5_25
N10,0.19,0.32,47.52,0.0,0.0,0.0,N5_block_N1_N5_25
N11,0.56,1.69,47.49,0.0,0.0,0.0,N5_block_N1_N5_25
N12,0.49,1.66,47.46,0.0,0.0,0.0,N5_block_N1_N5_25
N13,0.64,1.74,47.54,0.0,0.0,0.0,N5_block_N1_N5_25
N14,0.23,0.71,46.51,0.0,0.0,0.0,N5_block_N1_N5_25
N15,1.11,3.04,47.44,0.84,0.246,0.155,N5_block_N1_N5_25
N16,1.14,3.05,47.45,0.86,0.258,0.149,N5_block_N1_N5_25
N17,0.59,1.94,46.34,0.0,0.0,0.0,N5_block_N1_N5_25
N18,1.75,4.24,47.24,1.21,0.538,0.362,N5_block_N1_N5_25
N19,2.03,4.61,46.21,1.43,0.309,0.422,N5_block_N1_N5_25
N20,0.53,0.75,40.75,0.0,0.0,0.0,N5_block_N1_N5_25
N1,0.2,0.33,50.33,0.0,0.0,0.0,N5_block_N1_N5_50
N2,0.17,0.28,50.28,0.0,0.0,0.0,N5_block_N1_N5_50
N3,0.19,0.31,50.31,0.0,0.0,0.0,N5_block_N1_N5_50
N4,0.2,0.34,48.94,0.0,0.0,0.0,N5_block_N1_N5_50
N5,0.17,0.28,48.88,0.0,0.0,0.0,N5_block_N1_N5_50
N6,0.17,0.29,48.89,0.0,0.0,0.0,N5_block_N1_N5_50
N7,0.19,0.33,48.93,0.0,0.0,0.0,N5_block_N1_N5_50
N8,0.27,0.46,47.66,0.0,0.0,0.0,N5_block_N1_N5_50
N9,0.19,0.33,47.53,0.0,0.0,0.0,N5_block_N1_N5_50
N10,0.19,0.32,47.52,0.0,0.0,0.0,N5_block_N1_N5_50
N11,0.56,1.7,47.5,0.0,0.0,0.0,N5_block_N1_N5_50
N12,0.49,1.67,47.47,0.0,0.0,0.0,N5_block_N1_N5_50
N13,0.64,1.73,47.53,0.0,0.0,0.0,N5_block_N1_N5_50
N14,0.23,0.69,46.49,0.0,0.0,0.0,N5_block_N1_N5_50
N15,1.12,3.04,47.44,0.84,0.252,0.156,N5_block_N1_N5_50
N16,1.14,3.05,47.45,0.85,0.249,0.149,N5_block_N1_N5_50
N17,0.59,1.93,46.33,0.0,0.0,0.0,N5_block_N1_N5_50
N18,1.76,4.24,47.24,1.21,0.538,0.362,N5_block_N1_N5_50
N19,2.03,4.61,46.21,1.43,0.309,0.422,N5_block_N1_N5_50
N20,0.53,0.75,40.75,0.0,0.0,0.0,N5_block_N1_N5_50
N1,0.21,0.36,50.36,0.0,0.0,0.0,N5_block_N1_N5_75
N2,0.17,0.28,50.28,0.0,0.0,0.0,N5_block_N1_N5_75
N3,0.19,0.31,50.31,0.0,0.0,0.0,N5_block_N1_N5_75
N4,0.21,0.36,48.96,0.0,0.0,0.0,N5_block_N1_N5_75
N5,0.16,0.26,48.86,0.0,0.0,0.0,N5_block_N1_N5_75
N6,0.17,0.29,48.89,0.0,0.0,0.0,N5_block_N1_N5_75
N7,0.19,0.33,48.93,0.0,0.0,0.0,N5_block_N1_N5_75
N8,0.27,0.47,47.67,0.0,0.0,0.0,N5_block_N1_N5_75
N9,0.18,0.33,47.53,0.0,0.0,0.0,N5_block_N1_N5_75
N10,0.19,0.32,47.52,0.0,0.0,0.0,N5_block_N1_N5_75
N11,0.57,1.72,47.52,0.0,0.0,0.0,N5_block_N1_N5_75
N12,0.49,1.67,47.47,0.0,0.0,0.0,N5_block_N1_N5_75
N13,0.64,1.73,47.53,0.0,0.0,0.0,N5_block_N1_N5_75
N14,0.22,0.67,46.47,0.0,0.0,0.0,N5_block_N1_N5_75
N15,1.12,3.05,47.45,0.84,0.263,0.158,N5_block_N1_N5_75
N16,1.14,3.05,47.45,0.85,0.241,0.15,N5_block_N1_N5_75
N17,0.59,1.92,46.32,0.0,0.0,0.0,N5_block_N1_N5_75
N18,1.76,4.24,47.24,1.21,0.544,0.363,N5_block_N1_N5_75
N19,2.03,4.61,46.21,1.43,0.309,0.421,N5_block_N1_N5_75
N20,0.53,0.75,40.75,0.0,0.0,0.0,N5_block_N1_N5_75
N1,0.19,0.31,50.31,0.0,0.0,0.0,N5_block_N6_N10_25
N2,0.17,0.28,50.28,0.0,0.0,0.0,N5_block_N6_N10_25
N3,0.19,0.31,50.31,0.0,0.0,0.0,N5_block_N6_N10_25
N4,0.19,0.32,48.92,0.0,0.0,0.0,N5_block_N6_N10_25
N5,0.18,0.29,48.89,0.0,0.0,0.0,N5_block_N6_N10_25
N6,0.18,0.29,48.89,0.0,0.0,0.0,N5_block_N6_N10_25
N7,0.19,0.33,48.93,0.0,0.0,0.0,N5_block_N6_N10_25
N8,0.26,0.45,47.65,0.0,0.0,0.0,N5_block_N6_N10_25
N9,0.19,0.34,47.54,0.0,0.0,0.0,N5_block_N6_N10_25
N10,0.19,0.33,47.53,0.0,0.0,0.0,N5_block_N6_N10_25
N11,0.56,1.69,47.49,0.0,0.0,0.0,N5_block_N6_N10_25
N12,0.5,1.67,47.47,0.0,0.0,0.0,N5_block_N6_N10_25
N13,0.65,1.74,47.54,0.0,0.0,0.0,N5_block_N6_N10_25
N14,0.23,0.74,46.54,0.0,0.0,0.0,N5_block_N6_N10_25
N15,1.11,3.04,47.44,0.84,0.254,0.155,N5_block_N6_N10_25
N16,1.14,3.05,47.45,0.86,0.268,0.149,N5_block_N6_N10_25
N17,0.59,1.95,46.35,0.0,0.0,0.0,N5_block_N6_N10_25
N18,1.76,4.24,47.24,1.22,0.53,0.362,N5_block_N6_N10_25
N19,2.03,4.62,46.22,1.43,0.308,0.423,N5_block_N6_N10_25
N20,0.53,0.75,40.75,0.0,0.0,0.0,N5_block_N6_N10_25
