source,target,R_source,S,tau,Q,L,C,u
N1,N4,0.75,0.45,1.0,0.3375,45.0,100.0,0.45
N1,N5,0.75,0.75,1.0,0.5625,75.0,100.0,0.75
N2,N5,0.55,0.55,1.0,0.30250000000000005,55.00000000000001,100.0,0.55
N2,N6,0.55,0.8,1.0,0.44000000000000006,80.0,100.0,0.8
N3,N6,0.65,0.65,1.0,0.42250000000000004,65.0,100.0,0.65
N3,N7,0.65,0.85,1.0,0.5525,85.0,100.0,0.85
N4,N8,0.3375,0.5,1.0,0.16875,50.0,100.0,0.5
N5,N8,0.69484375,0.7,1.0,0.48639062499999997,70.0,100.0,0.7
N5,N9,0.69484375,0.6,1.0,0.41690625,60.0,100.0,0.6
N6,N9,0.6766000000000001,0.75,1.0,0.5074500000000001,75.0,100.0,0.75
N6,N10,0.6766000000000001,0.55,1.0,0.37213000000000007,55.00000000000001,100.0,0.55
N7,N10,0.5525,0.9,1.0,0.49725,90.0,100.0,0.9
N8,N11,0.5730622070312499,0.65,1.0,0.37249043457031245,65.0,100.0,0.65
N9,N12,0.7127971734375,0.6,1.0,0.4276783040625,60.0,100.0,0.6
N9,N13,0.7127971734375,0.85,1.0,0.605877597421875,85.0,100.0,0.85
N10,N13,0.763253768125,0.7,1.0,0.5342776376874999,70.0,100.0,0.7
N10,N14,0.763253768125,0.9,1.0,0.6869283913125,90.0,100.0,0.9
N11,N15,0.3724904345703124,0.55,1.0,0.20486973901367184,55.00000000000001,100.0,0.55
N12,N15,0.42767830406250007,0.75,1.0,0.32075872804687505,75.0,100.0,0.75
N12,N16,0.42767830406250007,0.65,1.0,0.27799089764062507,65.0,100.0,0.65
N13,N16,0.8164483836310374,0.85,1.0,0.6939811260863818,85.0,100.0,0.85
N14,N17,0.6869283913125,0.9,1.0,0.61823555218125,90.0,100.0,0.9
N15,N18,0.45991471015922625,0.65,1.0,0.2989445616034971,65.0,100.0,0.65
N16,N18,0.7790515875406019,0.8,1.0,0.6232412700324815,80.0,100.0,0.8
N17,N19,0.61823555218125,0.85,1.0,0.5255002193540625,85.0,100.0,0.85
N18,N19,0.7358712433929118,0.75,1.0,0.5519034325446839,75.0,100.0,0.75
N19,N20,0.787378277034255,0.9,1.0,0.7086404493308295,90.0,100.0,0.9
