network,scenario_family,parameter,max_risk,mean_risk,affected_nodes,top_node,top_3,outlet_risk,source,location,severity
N1,severity,0.25,0.25,0.0800526041666667,3,A,A|B|C,0.012065624999999969,A,,
N1,severity,0.5,0.5,0.16010520833333333,4,A,A|B|C,0.024131249999999937,A,,
N1,severity,0.75,0.75,0.24015781249999998,5,A,A|B|C,0.03619687500000002,A,,
N1,severity,1.0,1.0,0.3202104166666666,5,A,A|B|C,0.048262499999999986,A,,
N1,lc_stress,0.5,0.8,0.17371567708333335,2,A,A|B|C,0.0012065624999999525,,,
N1,lc_stress,0.75,0.8,0.20682874837239584,3,A,A|B|C,0.009162333984374937,,,
N1,lc_stress,1.0,0.8,0.2561683333333334,5,A,A|B|C,0.03861000000000003,,,
N1,lc_stress,1.25,0.8,0.3312428792317708,6,A,A|B|C,0.117828369140625,,,
N1,lc_stress,1.5,0.8,0.4455053645833334,6,A,A|B|C,0.2931946875,,,
N1,blockage_location,A,0.75,0.24015781249999998,5,A,A|B|C,0.03619687500000002,,A,0.75
N1,blockage_location,B,0.75,0.25590625,5,B,B|C|D,0.08043750000000005,,B,0.75
N1,blockage_location,C,0.75,0.26181250000000006,4,C,C|D|E,0.1608750000000001,,C,0.75
N1,blockage_location,D,0.75,0.24875,3,D,D|E|F,0.2925,,D,0.75
N1,blockage_location,E,0.75,0.20625000000000002,2,E,E|F|A,0.48750000000000004,,E,0.75
N1,blockage_location,F,0.75,0.125,1,F,F|A|B,0.75,,F,0.75
N2,severity,0.25,0.25,0.09845312499999999,6,A,A|B|C,0.027000000000000024,A,,
N2,severity,0.5,0.5,0.19690624999999998,8,A,A|B|C,0.05399999999999994,A,,
N2,severity,0.75,0.75,0.29535937500000004,8,A,A|B|C,0.08099999999999996,A,,
N2,severity,1.0,1.0,0.3938125,8,A,A|B|C,0.10799999999999998,A,,
N2,lc_stress,0.5,0.8,0.1761625,6,A,A|B|C,0.010800000000000032,,,
N2,lc_stress,0.75,0.8,0.237259375,7,A,A|B|C,0.03644999999999998,,,
N2,lc_stress,1.0,0.8,0.31505000000000005,8,A,A|B|C,0.08640000000000003,,,
N2,lc_stress,1.25,0.8,0.41054687500000003,8,A,A|B|D,0.16874999999999996,,,
N2,lc_stress,1.5,0.8,0.5217625,8,A,A|B|D,0.2916000000000001,,,
N2,blockage_location,A,0.75,0.29535937500000004,8,A,A|B|C,0.08099999999999996,,A,0.75
N2,blockage_location,B,0.75,0.2015625,3,B,B|D|E,0.0,,B,0.75
N2,blockage_location,C,0.75,0.226875,4,C,C|F|G,0.2025,,C,0.75
N2,blockage_location,D,0.75,0.09375,1,D,D|A|B,0.0,,D,0.75
N2,blockage_location,E,0.75,0.09375,1,E,E|A|B,0.0,,E,0.75
N2,blockage_location,F,0.75,0.09375,1,F,F|A|B,0.0,,F,0.75
N2,blockage_location,G,0.75,0.15,2,G,G|H|A,0.44999999999999996,,G,0.75
N2,blockage_location,H,0.75,0.09375,1,H,H|A|B,0.75,,H,0.75
N3,severity,0.25,0.55,0.252721421875,8,B,B|D|E,0.10153653124999995,A,,
N3,severity,0.5,0.55,0.32573034375000004,8,B,B|A|E,0.1279980625,A,,
N3,severity,0.75,0.75,0.39873926562500006,8,A,A|B|E,0.15445959375000007,A,,
N3,severity,1.0,1.0,0.4717481875,8,A,A|B|C,0.18092112500000002,A,,
N3,lc_stress,0.5,0.7,0.22606565803222656,5,A,A|B|C,0.010271363867187522,,,
N3,lc_stress,0.75,0.7,0.2910367887065888,7,A,A|B|C,0.04999823061218267,,,
N3,lc_stress,1.0,0.7,0.38413748125,8,A,A|B|E,0.14916728749999997,,,
N3,lc_stress,1.25,0.7,0.5070477378368378,8,A,A|E|F,0.33639254570007315,,,
N3,lc_stress,1.5,0.7814090625,0.6321789648437499,8,E,E|F|A,0.586056796875,,,
N3,blockage_location,A,0.75,0.23915625000000001,6,A,A|C|E,0.10106250000000006,,A,0.75
N3,blockage_location,B,0.75,0.2450625,6,B,B|D|E,0.102375,,B,0.75
N3,blockage_location,C,0.75,0.26437499999999997,5,C,C|E|F,0.18374999999999997,,C,0.75
N3,blockage_location,D,0.75,0.2521875,5,D,D|E|F,0.17062500000000003,,D,0.75
N3,blockage_location,E,0.75,0.24375,4,E,E|F|G,0.26249999999999996,,E,0.75
N3,blockage_location,F,0.75,0.09375,1,F,F|A|B,0.0,,F,0.75
N3,blockage_location,G,0.75,0.159375,2,G,G|H|A,0.5249999999999999,,G,0.75
N3,blockage_location,H,0.75,0.09375,1,H,H|A|B,0.75,,H,0.75
N3,source_combination,A,0.7,0.22321249999999998,6,A,A|C|E,0.09432499999999999,,,
N3,source_combination,B,0.55,0.17971250000000003,6,B,B|D|E,0.075075,,,
N3,source_combination,A+B,0.7,0.38413748125,8,A,A|B|E,0.14916728749999997,,,
N4,severity,0.25,0.25,0.1541108660714286,7,A,A|D|B,0.07113356250000002,A,,
N4,severity,0.5,0.5,0.2998506071428571,7,A,A|D|B,0.13438424999999998,A,,
N4,severity,0.75,0.75,0.4372192232142856,7,A,A|D|B,0.18975206249999998,A,,
N4,severity,1.0,1.0,0.5662167142857143,7,A,A|D|B,0.23723700000000003,A,,
N4,lc_stress,0.5,0.8,0.22284885285714287,5,A,A|B|C,0.014384370000000035,,,
N4,lc_stress,0.75,0.8,0.32354731323660724,7,A,A|B|C,0.06883016765625005,,,
N4,lc_stress,1.0,0.8,0.46368841142857137,7,A,A|D|B,0.19987968,,,
N4,lc_stress,1.25,0.8,0.6378993443080357,7,A,A|D|E,0.4325610351562501,,,
N4,lc_stress,1.5,0.9216000000000001,0.7978331428571429,7,D,D|E|A,0.741312,,,
N4,blockage_location,A,0.75,0.4372192232142856,7,A,A|D|B,0.18975206249999998,,A,0.75
N4,blockage_location,B,0.75,0.3064553571428571,5,B,B|D|E,0.1876875,,B,0.75
N4,blockage_location,C,0.75,0.3064553571428571,5,C,C|D|E,0.1876875,,C,0.75
N4,blockage_location,D,0.75,0.2847321428571429,4,D,D|E|F,0.26812500000000006,,D,0.75
N4,blockage_location,E,0.75,0.10714285714285714,1,E,E|A|B,0.0,,E,0.75
N4,blockage_location,F,0.75,0.1767857142857143,2,F,F|G|A,0.48750000000000004,,F,0.75
N4,blockage_location,G,0.75,0.10714285714285714,1,G,G|A|B,0.75,,G,0.75
N5,severity,0.25,0.7681716440164293,0.47479585845426414,20,N16,N16|N13|N19,0.4522017343785396,N1,,
N5,severity,0.5,0.7830314646153229,0.5169812571075192,20,N16,N16|N13|N19,0.455849777523466,N1,,
N5,severity,0.75,0.7965445660146454,0.5574726117738453,20,N16,N16|N1|N13,0.4594978206683922,N1,,
N5,severity,1.0,1.0,0.5963599435020492,20,N1,N1|N16|N13,0.46314586381331835,N1,,
N5,lc_stress,0.5,0.75,0.22525970585659322,18,N1,N1|N3|N2,0.03816683022425449,,,
N5,lc_stress,0.75,0.75,0.3618379617990681,20,N1,N1|N3|N2,0.1711754082754965,,,
N5,lc_stress,1.0,0.7965445660146454,0.5574726117738453,20,N16,N16|N1|N13,0.4594978206683922,,,
N5,lc_stress,1.25,0.9827974161257317,0.745817980378895,20,N16,N16|N19|N17,0.8332265592820165,,,
N5,lc_stress,1.5,0.9996659331910892,0.8395646354514804,20,N16,N16|N19|N17,0.9964278853996491,,,
N5,blockage_location,N1,0.75,0.21325623954757783,14,N1,N1|N8|N4,0.07276499999999997,,N1,0.75
N5,blockage_location,N2,0.75,0.32156920106465503,16,N2,N2|N16|N19,0.29421350251724854,,N2,0.75
N5,blockage_location,N3,0.75,0.2817612858302216,14,N3,N3|N16|N13,0.3483273645093029,,N3,0.75
N5,blockage_location,N4,0.75,0.12845500195312498,8,N4,N4|N8|N15,0.0,,N4,0.75
N5,blockage_location,N5,0.75,0.25290962042753906,12,N5,N5|N8|N16,0.16170000000000007,,N5,0.75
N5,blockage_location,N6,0.75,0.30136081007519533,12,N6,N6|N16|N13,0.41568792972656254,,N6,0.75
N5,blockage_location,N7,0.75,0.13948490625,8,N7,N7|N10|N17,0.2430356250000001,,N7,0.75
N5,blockage_location,N8,0.75,0.148568408203125,7,N8,N8|N15|N11,0.0,,N8,0.75
N5,blockage_location,N9,0.75,0.22777462499999998,9,N9,N9|N16|N12,0.29399999999999993,,N9,0.75
N5,blockage_location,N10,0.75,0.19860525,7,N10,N10|N13|N17,0.4418925,,N10,0.75
N5,blockage_location,N11,0.75,0.08671875,3,N11,N11|N15|N18,0.0,,N11,0.75
N5,blockage_location,N12,0.75,0.12871875,5,N12,N12|N16|N15,0.0,,N12,0.75
N5,blockage_location,N13,0.75,0.1509375,5,N13,N13|N16|N17,0.42000000000000004,,N13,0.75
N5,blockage_location,N14,0.75,0.0725625,3,N14,N14|N17|N20,0.28875000000000006,,N14,0.75
N5,blockage_location,N15,0.75,0.065625,2,N15,N15|N18|N1,0.0,,N15,0.75
N5,blockage_location,N16,0.75,0.06937499999999999,2,N16,N16|N19|N1,0.0,,N16,0.75
N5,blockage_location,N17,0.75,0.06375,2,N17,N17|N20|N1,0.5249999999999999,,N17,0.75
N5,blockage_location,N18,0.75,0.0375,1,N18,N18|N1|N10,0.0,,N18,0.75
N5,blockage_location,N19,0.75,0.0375,1,N19,N19|N1|N10,0.0,,N19,0.75
N5,blockage_location,N20,0.75,0.0375,1,N20,N20|N1|N10,0.75,,N20,0.75
N5,source_combination,N1,0.75,0.27235559360533135,16,N1,N1|N16|N8,0.21950748640625006,,,
N5,source_combination,N2,0.5810352281230449,0.29002938749352436,16,N16,N16|N2|N19,0.32913348136459175,,,
N5,source_combination,N3,0.65,0.28247472929718115,14,N3,N3|N16|N13,0.3854781180960668,,,
N5,source_combination,N1+N2,0.75,0.42949473798376225,18,N1,N1|N16|N19,0.35189452424473544,,,
N5,source_combination,N1+N3,0.75,0.4524693725222818,19,N1,N1|N16|N3,0.40816042106550254,,,
N5,source_combination,N2+N3,0.7518496052556106,0.430817541268525,18,N16,N16|N13|N3,0.4485536912336132,,,
N5,source_combination,N1+N2+N3,0.7965445660146454,0.5574726117738453,20,N16,N16|N1|N13,0.4594978206683922,,,
N5,intermediate_blockage,N8:0.25,0.8031522607944078,0.5733456227297282,20,N16,N16|N1|N13,0.4594978206683922,,N8,0.25
N5,intermediate_blockage,N8:0.5,0.8097599555741701,0.5890365893777642,20,N16,N16|N8|N1,0.4594978206683922,,N8,0.5
N5,intermediate_blockage,N8:0.75,0.8851097109375,0.6045455117179533,20,N8,N8|N16|N1,0.4594978206683922,,N8,0.75
N5,intermediate_blockage,N10:0.25,0.7965445660146454,0.5574726117738453,20,N16,N16|N1|N13,0.4594978206683922,,N10,0.25
N5,intermediate_blockage,N10:0.5,0.8305277632217483,0.5797740024790072,20,N16,N16|N13|N1,0.5009315734033702,,N10,0.5
N5,intermediate_blockage,N10:0.75,0.8646830546875001,0.6016744098459554,20,N10,N10|N16|N13,0.5390631104118836,,N10,0.75
N5,intermediate_blockage,N17:0.25,0.7965445660146454,0.5647735707892692,20,N16,N16|N1|N17,0.5196233655012941,,N17,0.25
N5,intermediate_blockage,N17:0.5,0.8282127290488516,0.572074529804693,20,N17,N17|N16|N1,0.5797489103341961,,N17,0.5
N5,intermediate_blockage,N17:0.75,0.9141063645244258,0.5793754888201168,20,N17,N17|N16|N1,0.6398744551670981,,N17,0.75
