data_file,archive_member,declared_data_file,mapping_method,meter,channel,measurement_kind,measurement_semantics,voltage_response_eligible,unit,base_element,nominal_voltage,data_status,start_time,end_time,row_count,valid_count,missing_value_count,invalid_timestamp_count,duplicate_timestamp_count,out_of_order_timestamp_count,sampling_interval_seconds,expected_timestamp_count,missing_timestamp_count,timestamp_coverage_fraction,minimum,p05,mean,median,p95,maximum,standard_deviation,per_unit_status,mean_per_unit
egauge_1-CT1,magnitudes/egauge_1-CT1.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,31.362,41.744,60.58459627725091,63.224,73.6366,109.658,10.015471733340817,not_applicable,
egauge_1-CT2,magnitudes/egauge_1-CT2.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,27.53,38.801,56.938651408968504,59.605,68.862,96.77,9.5992537325447,not_applicable,
egauge_1-CT3,magnitudes/egauge_1-CT3.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,25.822,37.4251,52.148786321976345,53.742,62.2083,101.757,7.7304604762411016,not_applicable,
egauge_1-L1,magnitudes/egauge_1-L1.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,270.714,271.846,273.1174181025641,273.071,274.482,275.392,0.7644443414421201,not_applicable,
egauge_1-L2,magnitudes/egauge_1-L2.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,270.307,271.61170000000004,272.92833456925416,272.949,274.289,275.382,0.7712093289730338,not_applicable,
egauge_1-L3,magnitudes/egauge_1-L3.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,270.094,271.397,272.66966573281815,272.675,273.988,275.121,0.7492057534979942,not_applicable,
egauge_1-Mains_Power,magnitudes/egauge_1-Mains_Power.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,8.409,13.203700000000001,33.856507706591735,38.767,45.1083,68.489,10.708328382456921,not_applicable,
egauge_1-MeterCT_A,magnitudes/egauge_1-MeterCT_A.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,0.096,0.121,0.22057184849549236,0.241,0.286,0.455,0.05362702168599796,not_applicable,
egauge_1-MeterCT_B,magnitudes/egauge_1-MeterCT_B.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,0.07,0.095,0.19915185317878467,0.224,0.258,0.386,0.05627638435918037,not_applicable,
egauge_1-MeterCT_C,magnitudes/egauge_1-MeterCT_C.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,0.061,0.076,0.16212565694883502,0.185,0.21,0.411,0.04739159586216344,not_applicable,
egauge_1-PV1,magnitudes/egauge_1-PV1.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,1.263,1.806,11.159867927408968,2.046,37.041,38.684,13.152278464072893,not_applicable,
egauge_1-PV2,magnitudes/egauge_1-PV2.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,1.321,1.752,11.385058971314836,1.983,37.859,39.45,13.495607431897552,not_applicable,
egauge_1-PV3,magnitudes/egauge_1-PV3.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,1.217,1.758,11.39937752581665,1.99,37.954,39.532,13.518256163366857,not_applicable,
egauge_1-PV_Power,magnitudes/egauge_1-PV_Power.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,-0.614,-0.111,8.205117637279008,-0.06,30.623,31.829,11.613657880245496,not_applicable,
egauge_1-TrA_A,magnitudes/egauge_1-TrA_A.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,12.28,12.993,14.470869752488,14.168,16.807,22.52,1.2735279145758538,not_applicable,
egauge_1-TrA_B,magnitudes/egauge_1-TrA_B.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,12.503,12.99,14.518219900714202,14.138,17.341,22.771,1.4378451741621014,not_applicable,
egauge_1-TrA_C,magnitudes/egauge_1-TrA_C.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,8.982,9.36,10.672547387191194,10.233,13.019300000000003,18.406,1.2637462560696118,not_applicable,
egauge_1-TrB_A,magnitudes/egauge_1-TrB_A.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,6.077,6.428,7.389154948132536,7.1,8.238,35.555,2.4682229246425913,not_applicable,
egauge_1-TrB_B,magnitudes/egauge_1-TrB_B.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,5.578,6.024,6.8010996770869925,6.531,7.338,34.49,2.324564520059226,not_applicable,
egauge_1-TrB_C,magnitudes/egauge_1-TrB_C.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,71175,71175,0,0,0,0,1.0,86401,15226,0.8237751877871784,4.518,4.798,5.3580038309331455,5.118,6.548,15.708,0.9837349502511232,not_applicable,
egauge_10-CT1,magnitudes/egauge_10-CT1.csv,egauge_10-CT1,declared_data_file,egauge_10,CT1,current_magnitude,current_magnitude,False,A,cb_139,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,85816,85816,0,0,0,0,1.0,86401,585,0.9932292450318863,72.614,75.676,84.33791045842266,80.406,128.05875,311.063,17.747686282757684,not_applicable,
egauge_10-CT2,magnitudes/egauge_10-CT2.csv,egauge_10-CT2,declared_data_file,egauge_10,CT2,current_magnitude,current_magnitude,False,A,cb_139,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,85816,85816,0,0,0,0,1.0,86401,585,0.9932292450318863,62.062,64.827,71.6628025346866,67.835,115.42625000000001,300.128,17.546268557365863,not_applicable,
egauge_10-CT3,magnitudes/egauge_10-CT3.csv,egauge_10-CT3,declared_data_file,egauge_10,CT3,current_magnitude,current_magnitude,False,A,cb_139,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,85816,85816,0,0,0,0,1.0,86401,585,0.9932292450318863,64.773,68.8025,76.68581059864516,72.573,121.47,307.089,17.902133844811157,not_applicable,
