configured_tau,source,target,R_source,S,tau,Q,L,C,u
0.0,npm:ee-first@1.1.1,npm:on-finished@2.4.1,0.0,1.0,0.0,0.0,,,
0.0,npm:es-errors@1.3.0,npm:es-object-atoms@1.1.2,0.0,1.0,0.0,0.0,,,
0.0,npm:es-errors@1.3.0,npm:call-bind-apply-helpers@1.0.2,0.0,1.0,0.0,0.0,,,
0.0,npm:function-bind@1.1.2,npm:call-bind-apply-helpers@1.0.2,0.0,1.0,0.0,0.0,,,
0.0,npm:function-bind@1.1.2,npm:hasown@2.0.4,0.0,1.0,0.0,0.0,,,
0.0,npm:forwarded@0.2.0,npm:proxy-addr@2.0.8,0.0,1.0,0.0,0.0,,,
0.0,npm:ipaddr.js@1.9.1,npm:proxy-addr@2.0.8,0.0,1.0,0.0,0.0,,,
0.0,npm:mime-db@1.52.0,npm:mime-types@2.1.35,0.0,1.0,0.0,0.0,,,
0.0,npm:ms@2.0.0,npm:debug@2.6.9,0.0,1.0,0.0,0.0,,,
0.0,npm:es-errors@1.3.0,npm:side-channel-list@1.0.1,0.0,1.0,0.0,0.0,,,
0.0,npm:object-inspect@1.13.4,npm:side-channel-list@1.0.1,0.0,1.0,0.0,0.0,,,
0.0,npm:safe-buffer@5.2.1,npm:content-disposition@0.5.4,0.0,1.0,0.0,0.0,,,
0.0,npm:safer-buffer@2.1.2,npm:iconv-lite@0.4.24,0.0,1.0,0.0,0.0,,,
0.0,npm:depd@2.0.0,npm:http-errors@2.0.0,0.0,1.0,0.0,0.0,,,
0.0,npm:inherits@2.0.4,npm:http-errors@2.0.0,0.0,1.0,0.0,0.0,,,
0.0,npm:setprototypeof@1.2.0,npm:http-errors@2.0.0,0.0,1.0,0.0,0.0,,,
0.0,npm:statuses@2.0.1,npm:http-errors@2.0.0,0.0,1.0,0.0,0.0,,,
0.0,npm:toidentifier@1.0.1,npm:http-errors@2.0.0,0.0,1.0,0.0,0.0,,,
0.0,npm:call-bind-apply-helpers@1.0.2,npm:dunder-proto@1.0.1,0.0,1.0,0.0,0.0,,,
0.0,npm:es-errors@1.3.0,npm:dunder-proto@1.0.1,0.0,1.0,0.0,0.0,,,
0.0,npm:gopd@1.2.0,npm:dunder-proto@1.0.1,0.0,1.0,0.0,0.0,,,
0.0,npm:mime-types@2.1.35,npm:accepts@1.3.8,0.0,1.0,0.0,0.0,,,
0.0,npm:negotiator@0.6.3,npm:accepts@1.3.8,0.0,1.0,0.0,0.0,,,
0.0,npm:media-typer@0.3.0,npm:type-is@1.6.18,0.0,1.0,0.0,0.0,,,
0.0,npm:mime-types@2.1.35,npm:type-is@1.6.18,0.0,1.0,0.0,0.0,,,
0.0,npm:debug@2.6.9,npm:finalhandler@1.2.0,0.0,1.0,0.0,0.0,,,
0.0,npm:encodeurl@1.0.2,npm:finalhandler@1.2.0,0.0,1.0,0.0,0.0,,,
0.0,npm:escape-html@1.0.3,npm:finalhandler@1.2.0,0.0,1.0,0.0,0.0,,,
0.0,npm:on-finished@2.4.1,npm:finalhandler@1.2.0,0.0,1.0,0.0,0.0,,,
0.0,npm:parseurl@1.3.3,npm:finalhandler@1.2.0,0.0,1.0,0.0,0.0,,,
0.0,npm:statuses@2.0.1,npm:finalhandler@1.2.0,0.0,1.0,0.0,0.0,,,
0.0,npm:unpipe@1.0.0,npm:finalhandler@1.2.0,0.0,1.0,0.0,0.0,,,
0.0,npm:bytes@3.1.2,npm:raw-body@2.5.1,0.0,1.0,0.0,0.0,,,
0.0,npm:http-errors@2.0.0,npm:raw-body@2.5.1,0.0,1.0,0.0,0.0,,,
0.0,npm:iconv-lite@0.4.24,npm:raw-body@2.5.1,0.0,1.0,0.0,0.0,,,
0.0,npm:unpipe@1.0.0,npm:raw-body@2.5.1,0.0,1.0,0.0,0.0,,,
0.0,npm:debug@2.6.9,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:depd@2.0.0,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:destroy@1.2.0,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:encodeurl@1.0.2,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:escape-html@1.0.3,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:etag@1.8.1,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:fresh@0.5.2,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:http-errors@2.0.0,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:mime@1.6.0,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:ms@2.1.3,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:on-finished@2.4.1,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:range-parser@1.2.1,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:statuses@2.0.1,npm:send@0.18.0,0.0,1.0,0.0,0.0,,,
0.0,npm:dunder-proto@1.0.1,npm:get-proto@1.0.1,0.0,1.0,0.0,0.0,,,
0.0,npm:es-object-atoms@1.1.2,npm:get-proto@1.0.1,0.0,1.0,0.0,0.0,,,
0.0,npm:encodeurl@1.0.2,npm:serve-static@1.15.0,0.0,1.0,0.0,0.0,,,
0.0,npm:escape-html@1.0.3,npm:serve-static@1.15.0,0.0,1.0,0.0,0.0,,,
0.0,npm:parseurl@1.3.3,npm:serve-static@1.15.0,0.0,1.0,0.0,0.0,,,
0.0,npm:send@0.18.0,npm:serve-static@1.15.0,0.25,1.0,0.0,0.0,,,
0.0,npm:async-function@1.0.0,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:async-generator-function@1.0.0,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:call-bind-apply-helpers@1.0.2,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:es-define-property@1.0.1,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:es-errors@1.3.0,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:es-object-atoms@1.1.2,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:function-bind@1.1.2,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:generator-function@2.0.1,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:get-proto@1.0.1,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:gopd@1.2.0,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:has-symbols@1.1.0,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:hasown@2.0.4,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:math-intrinsics@1.1.0,npm:get-intrinsic@1.3.1,0.0,1.0,0.0,0.0,,,
0.0,npm:call-bind-apply-helpers@1.0.2,npm:call-bound@1.0.4,0.0,1.0,0.0,0.0,,,
