tau,rank,node,package,version,B,R,priority_top_20pct
0.0,1,npm:body-parser@1.20.1,body-parser,1.20.1,0.75,0.75,True
0.0,2,npm:path-to-regexp@0.1.7,path-to-regexp,0.1.7,0.75,0.75,True
0.0,3,npm:express@4.18.2,express,4.18.2,0.5,0.5,True
0.0,4,npm:qs@6.11.0,qs,6.11.0,0.5,0.5,True
0.0,5,npm:cookie@0.5.0,cookie,0.5.0,0.25,0.25,True
0.0,6,npm:send@0.18.0,send,0.18.0,0.25,0.25,True
0.0,7,npm:serve-static@1.15.0,serve-static,1.15.0,0.25,0.25,True
0.0,8,npm:accepts@1.3.8,accepts,1.3.8,0.0,0.0,False
0.0,9,npm:array-flatten@1.1.1,array-flatten,1.1.1,0.0,0.0,False
0.0,10,npm:async-function@1.0.0,async-function,1.0.0,0.0,0.0,False
0.0,11,npm:async-generator-function@1.0.0,async-generator-function,1.0.0,0.0,0.0,False
0.0,12,npm:bytes@3.1.2,bytes,3.1.2,0.0,0.0,False
0.0,13,npm:call-bind-apply-helpers@1.0.2,call-bind-apply-helpers,1.0.2,0.0,0.0,False
0.0,14,npm:call-bound@1.0.4,call-bound,1.0.4,0.0,0.0,False
0.0,15,npm:content-disposition@0.5.4,content-disposition,0.5.4,0.0,0.0,False
0.0,16,npm:content-type@1.0.5,content-type,1.0.5,0.0,0.0,False
0.0,17,npm:cookie-signature@1.0.6,cookie-signature,1.0.6,0.0,0.0,False
0.0,18,npm:debug@2.6.9,debug,2.6.9,0.0,0.0,False
0.0,19,npm:depd@2.0.0,depd,2.0.0,0.0,0.0,False
0.0,20,npm:destroy@1.2.0,destroy,1.2.0,0.0,0.0,False
0.0,21,npm:dunder-proto@1.0.1,dunder-proto,1.0.1,0.0,0.0,False
0.0,22,npm:ee-first@1.1.1,ee-first,1.1.1,0.0,0.0,False
0.0,23,npm:encodeurl@1.0.2,encodeurl,1.0.2,0.0,0.0,False
0.0,24,npm:es-define-property@1.0.1,es-define-property,1.0.1,0.0,0.0,False
0.0,25,npm:es-errors@1.3.0,es-errors,1.3.0,0.0,0.0,False
0.0,26,npm:es-object-atoms@1.1.2,es-object-atoms,1.1.2,0.0,0.0,False
0.0,27,npm:escape-html@1.0.3,escape-html,1.0.3,0.0,0.0,False
0.0,28,npm:etag@1.8.1,etag,1.8.1,0.0,0.0,False
0.0,29,npm:finalhandler@1.2.0,finalhandler,1.2.0,0.0,0.0,False
0.0,30,npm:forwarded@0.2.0,forwarded,0.2.0,0.0,0.0,False
0.0,31,npm:fresh@0.5.2,fresh,0.5.2,0.0,0.0,False
0.0,32,npm:function-bind@1.1.2,function-bind,1.1.2,0.0,0.0,False
0.0,33,npm:generator-function@2.0.1,generator-function,2.0.1,0.0,0.0,False
0.0,34,npm:get-intrinsic@1.3.1,get-intrinsic,1.3.1,0.0,0.0,False
0.0,35,npm:get-proto@1.0.1,get-proto,1.0.1,0.0,0.0,False
0.0,36,npm:gopd@1.2.0,gopd,1.2.0,0.0,0.0,False
0.0,37,npm:has-symbols@1.1.0,has-symbols,1.1.0,0.0,0.0,False
0.0,38,npm:hasown@2.0.4,hasown,2.0.4,0.0,0.0,False
0.0,39,npm:http-errors@2.0.0,http-errors,2.0.0,0.0,0.0,False
0.0,40,npm:iconv-lite@0.4.24,iconv-lite,0.4.24,0.0,0.0,False
0.0,41,npm:inherits@2.0.4,inherits,2.0.4,0.0,0.0,False
0.0,42,npm:ipaddr.js@1.9.1,ipaddr.js,1.9.1,0.0,0.0,False
